transaction_id,sender,receiver,amount,payment_type,status,timestamp,hour,day_of_week,is_weekend,is_late_night,is_large_amount,amount_zscore,payment_type_encoded,anomaly_score,is_anomaly
TXN0001,Gary Schmidt,Corey Ortega,2652.59,real-time,completed,2026-07-04 14:56:02.934317,14,5,1,0,0,-0.028758426452319935,1,1,False
TXN0002,Angela Harris,Heather Washington,5067.76,batch,completed,2026-07-21 23:45:39.519863,23,1,0,0,1,1.5839131042038053,0,1,False
TXN0003,Mrs. Christina Johnson,Matthew Nguyen,3480.79,batch,completed,2026-07-03 09:08:23.761813,9,4,0,0,0,0.5242521532126322,0,1,False
TXN0004,Leah Wallace MD,Darlene Garner,1238.48,batch,completed,2026-07-06 07:08:58.523994,7,0,0,0,0,-0.972996280605913,0,1,False
TXN0005,Zachary Rodriguez,Kara Mccoy,2987.81,batch,completed,2026-07-17 21:37:17.492511,21,4,0,0,0,0.1950766454086861,0,1,False
TXN0006,Emma Taylor,Brandi Herrera,1.0,batch,completed,2026-07-21 14:02:49.860883,14,1,0,0,0,-1.7992937113277014,0,1,False
TXN0007,Lance Griffith,James Sparks,2467.6,batch,completed,2026-07-12 17:51:23.688889,17,6,1,0,0,-0.152281038299965,0,1,False
TXN0008,Sarah Martin,Sarah Hansen,2014.69,real-time,completed,2026-07-18 07:51:20.669218,7,5,1,0,0,-0.45470076980932683,1,1,False
TXN0009,James Davis PhD,Robert Chavez,1782.49,real-time,completed,2026-07-20 17:01:14.225184,17,0,0,0,0,-0.6097467207851804,1,1,False
TXN0010,Grace Cox,Kevin Walter,3302.9,batch,completed,2026-07-03 11:16:32.642496,11,4,0,0,0,0.4054703951631293,0,1,False
TXN0011,Cindy Mcgrath,Steve Gonzalez,2948.04,batch,completed,2026-07-12 08:49:27.141252,8,6,1,0,0,0.16852118688022058,0,1,False
TXN0012,Laura Craig,Paul Pham,3294.4,batch,completed,2026-07-13 00:34:13.117930,0,0,0,1,0,0.39979472512310027,0,1,False
TXN0013,Joseph Taylor,Sara Blevins,2545.6,batch,completed,2026-07-14 01:07:37.284669,1,1,0,1,0,-0.10019841910910982,0,1,False
TXN0014,Thomas Harrison,Rachel Schneider,3797.82,batch,completed,2026-07-15 10:46:40.281032,10,2,0,0,0,0.7359412911879762,0,1,False
TXN0015,Amanda Hayes,Madison Reed,2111.29,batch,completed,2026-07-12 06:25:11.648283,6,6,1,0,0,-0.39019844911911394,0,1,False
TXN0016,Melissa Cole,Renee Bailey,1505.52,batch,completed,2026-07-18 05:59:51.772840,5,5,1,1,0,-0.7946867597248107,0,1,False
TXN0017,Christopher Soto,Dawn Wilson,3607.82,batch,completed,2026-07-10 23:23:26.316048,23,4,0,0,0,0.6090733726461495,0,1,False
TXN0018,Katie Moreno,Jeff Moss,4113.19,batch,completed,2026-07-15 07:56:52.875619,7,2,0,0,0,0.9465220041907965,0,1,False
TXN0019,Loretta Benitez,Rebecca Holt,3326.96,real-time,completed,2026-07-07 08:42:00.468098,8,1,0,0,0,0.42153588000584696,1,1,False
TXN0020,Jacob Owen,Virginia Brooks,557.53,batch,completed,2026-07-06 20:17:36.710960,20,0,0,0,0,-1.4276842234009497,0,1,False
TXN0021,Dr. Gerald Coleman,Jennifer Hickman,2064.02,batch,completed,2026-07-14 02:34:11.899112,2,1,0,1,0,-0.42176185180054626,0,1,False
