transaction_id,sender,receiver,amount,payment_type,status,timestamp,is_fraud,hour,day_of_week,is_weekend,is_late_night,is_large_amount,amount_zscore,payment_type_encoded,anomaly_score,is_anomaly
TXN33610,Renee Williams,Jasmin Lopez,3465.86,batch,completed,2026-08-03 11:59:37.157406,0,11,0,0,0,0,0.5439254390206281,0,1,False
TXN99686,Stephen Clark,Samantha Fisher,2588.17,batch,completed,2026-08-03 20:38:40.542731,0,20,0,0,0,0,-0.056078508597506155,0,1,False
TXN49805,Paige Salas,Miguel Durham,2241.27,real-time,completed,2026-08-04 09:36:53.432474,0,9,1,0,0,0,-0.2932253023729061,1,1,False
TXN82383,Daniel Walters,Kathy Spencer,3575.0,batch,completed,2026-08-01 06:14:07.236874,0,6,5,1,0,0,0.618535416168645,0,1,False
TXN74472,Anna Shepherd,Sabrina Lamb,2484.58,batch,completed,2026-08-04 02:30:09.376746,0,2,1,0,1,0,-0.1268944104919821,0,1,False
TXN52900,Jeffrey Brown,Megan Hernandez,1.0,batch,completed,2026-08-05 13:53:39.160766,0,13,2,0,0,0,-1.824712323679378,0,1,False
TXN13507,Manuel Chavez,Jason Gomez,3967.44,batch,completed,2026-08-02 23:30:01.928178,0,23,6,1,0,0,0.8868141355379675,0,1,False
TXN30559,Elizabeth Richards,Gary Skinner,3684.16,batch,completed,2026-08-01 21:08:23.579342,0,21,5,1,0,0,0.6931590656599181,0,1,False
TXN21883,Amanda Wilson,Tanya Martin DVM,3944.98,batch,completed,2026-08-01 08:48:03.489953,0,8,5,1,0,0,0.8714600940614743,0,1,False
TXN69774,Kellie Li,John Johnson,2549.66,batch,pending,2026-08-01 16:40:59.674330,0,16,5,1,0,0,-0.08240460553694318,0,1,False
TXN18020,Brandon Shaw,Amy Williams DDS,713.65,batch,pending,2026-08-02 13:52:21.938751,0,13,6,1,0,0,-1.3375325526097939,0,1,False
TXN68863,Deborah Ray,Kimberly Howell,2117.64,real-time,completed,2026-08-05 20:59:18.377156,0,20,2,0,0,0,-0.37774089220989865,1,1,False
TXN77401,Jessica Mitchell,Daniel Greene,4058.5,real-time,completed,2026-08-06 10:19:47.346205,0,10,3,0,0,0,0.9490643143825565,1,1,False
TXN88216,Edward Mitchell,Brittany Henderson,2634.31,batch,pending,2026-08-01 09:43:51.764829,0,9,5,1,0,0,-0.024536412705903614,0,1,False
TXN60638,Angel Reed,Amy Macdonald,6718.74,batch,completed,2026-08-04 22:52:31.395055,0,22,1,0,0,1,2.767650035550241,0,-1,True
TXN13528,Evelyn Griffin,Leslie Williams,3579.67,batch,completed,2026-08-01 23:12:37.268278,0,23,5,1,0,0,0.6217279083189222,0,1,False
TXN46745,John Williams,Nicholas Miller,2204.59,batch,completed,2026-08-04 15:56:54.476432,0,15,1,0,0,0,-0.31830037990441845,0,1,False
TXN25369,Stephanie Smith,Derek Ross,1730.56,real-time,completed,2026-08-05 01:24:31.443944,0,1,2,0,1,0,-0.6423554235866118,1,1,False
TXN96755,Larry Gonzalez,Johnny Garcia,1442.9,real-time,completed,2026-08-02 22:52:58.568919,0,22,6,1,0,0,-0.8390047366377259,1,1,False
TXN73505,Philip Bowers,John Gill,1443.52,real-time,completed,2026-08-01 09:09:40.149339,0,9,5,1,0,0,-0.8385808939967898,1,1,False
TXN91300,Jennifer Gonzales,Kerri Le,1108.28,batch,completed,2026-08-04 21:04:27.423802,0,21,1,0,0,0,-1.067756711653939,0,1,False
TXN34969,Brad Townsend,Shawna Gonzalez,1844.58,batch,completed,2026-08-03 22:31:57.882646,0,22,0,0,0,0,-0.5644093946841295,0,1,False
TXN59340,Manuel White,Lauren Rowland,1641.41,batch,failed,2026-08-02 11:44:30.707182,0,11,6,1,0,0,-0.7032998936502523,0,1,False
TXN10429,Kristi Smith,Alexander Lowe,4301.69,batch,completed,2026-08-05 04:25:47.927121,0,4,2,0,1,0,1.1153131722039442,0,1,False
TXN92657,Robert Cortez,Mario Scott,1785.42,batch,completed,2026-08-05 01:49:14.533878,0,1,2,0,1,0,-0.604852186035391,0,1,False
TXN53739,William Meyer,Jeffrey Murray,5332.94,batch,failed,2026-08-04 02:19:58.212294,0,2,1,0,1,1,1.8202933713416816,0,-1,True
TXN4607,Justin Lin Jr.,Natalie Lopez,2124.25,batch,completed,2026-08-03 22:27:44.961714,0,22,0,0,0,0,-0.37322218276378905,0,1,False
TXN81999,Kelly Burton,Ryan Durham,2620.39,batch,completed,2026-08-05 10:21:34.873061,0,10,2,0,0,0,-0.03405236361208287,0,1,False
TXN68632,Barbara Carpenter,Matthew Shepard,2589.3,real-time,completed,2026-08-04 00:58:56.274572,0,0,1,0,1,0,-0.05530602120354182,1,1,False
TXN31225,Nicholas Santiago,Christina Singleton,5376.38,batch,completed,2026-08-03 04:24:07.385191,0,4,0,0,1,1,1.849989700893724,0,-1,True
TXN42866,Donna Grant,Paul Thomas,2610.27,batch,completed,2026-08-02 23:36:27.905264,0,23,6,1,0,0,-0.040970569299621125,0,1,False
TXN66976,Curtis Ramirez,Debbie Norton,1834.79,batch,completed,2026-08-01 08:46:40.289401,0,8,5,1,0,0,-0.5711020067079438,0,1,False
TXN36586,Jeffrey Jennings,Adrienne Jones,534.2,batch,completed,2026-08-03 07:26:57.362610,0,7,0,0,0,0,-1.460207652474295,0,1,False
TXN56674,Blake Riddle,Tyler Fox,2263.91,batch,completed,2026-08-06 03:22:09.262831,0,3,3,0,1,0,-0.27774820980710896,0,1,False
