transaction_id,sender,receiver,amount,payment_type,status,timestamp,is_fraud
TXN0720,Daniel Johnson,Alexander Davis,3461.59,batch,completed,2026-07-08 09:28:54.598470,0
GHT0003,Tammy Parker,Kyle Lucas,0.41,real-time,completed,2026-07-02 05:24:00.000000,1
TXN0411,Emily Holloway PhD,Joshua Rodriguez,2006.77,batch,completed,2026-07-05 15:47:02.075950,0
TXN0503,Alex Griffin,Patricia Gonzalez,3637.1,batch,pending,2026-07-05 22:25:32.277372,0
TXN0508,Cameron Ellis,Luis Hendricks,3293.96,batch,completed,2026-07-27 03:20:10.279668,0
TXN0818,Elizabeth Lopez,Jordan Norris,2198.62,real-time,completed,2026-07-13 20:50:32.201158,0
TXN0820,Jose White,Ryan Thornton,3192.67,batch,completed,2026-07-16 16:31:00.952978,0
TXN0796,Brian Henderson,Ashley Cooke,2886.45,batch,completed,2026-07-09 09:50:12.477887,0
TXN0496,Andrew Morales,Jason Camacho,1507.24,batch,completed,2026-07-27 04:36:43.075065,0
TXN0977,Hunter Lucas,Tammy Odom,4186.95,batch,completed,2026-07-15 04:19:32.409045,0
TXN0995,Rachel Downs,Gregory Barrera,2308.12,real-time,completed,2026-07-25 22:21:58.801449,0
MIS0009,Christopher Wise,Regina Brown,4444.41,batch,completed,2026-07-05 23:40:00.000000,1
TXN0850,Hayden Morris,Daniel Ryan,4261.08,real-time,completed,2026-07-17 15:51:09.186952,0
SWT0001,Destiny Lee,Amanda Kennedy,8118.84,real-time,completed,2026-07-08 21:11:27.732634,1
TXN0885,Brittany Cox,David Woodard,2620.92,batch,completed,2026-07-30 03:52:00.271393,0
TXN0234,Paul Koch,Jerome Robinson,1497.17,batch,completed,2026-07-30 02:30:37.699533,0
STR0001,Tyrone Wilson,Alexander Robinson,945.76,real-time,completed,2026-07-15 14:01:00.000000,1
TXN0705,James Williams,Tamara White,1006.35,batch,completed,2026-07-16 14:03:33.124539,0
TXN0533,David Rosales,Thomas Davis,597.57,real-time,completed,2026-07-04 12:51:57.198940,0
TXN0377,Tina Mckay,Kristina Carter,4102.66,batch,failed,2026-07-26 04:41:47.958501,0
VEL0020,Randy Mann,Alex Adams,1173.06,real-time,completed,2026-07-20 03:38:00.000000,1
TXN0577,Jeffrey Sanders DDS,Andrea Flores,970.74,real-time,completed,2026-07-25 03:51:32.878655,0
TXN0783,Christopher Murray,Joseph Brown,2916.31,real-time,completed,2026-07-21 14:19:02.962892,0
TXN0391,Luis Parker,Anthony Herrera,5654.93,batch,completed,2026-07-17 13:59:08.375419,0
TXN0565,Dr. Karen Smith,Randy Hamilton,2538.69,batch,completed,2026-07-25 18:53:48.255514,0
TXN0910,Emily Ritter,Michael Oconnor,3933.88,batch,completed,2026-07-26 21:59:58.038667,0
TXN0275,Melissa Phillips,Douglas Montgomery,1673.15,real-time,completed,2026-07-04 06:01:39.169048,0
TXN0926,Robert Vincent DDS,Diana Houston,5031.89,real-time,completed,2026-07-12 23:26:12.764915,0
TXN0510,Stephanie White,Jonathan Nguyen,1306.03,real-time,completed,2026-07-22 13:13:38.239168,0
TXN0408,Jennifer Harper,Amber Mcclure,1.85,batch,completed,2026-07-18 01:17:51.906391,0
TXN0197,Hannah Burns,Kathryn Martin,1033.24,batch,pending,2026-07-15 06:07:12.336929,0
SWT0003,Cassandra Carlson,Sharon King,4917.405,real-time,failed,2026-07-10 03:46:40.363979,1
TXN0245,Ryan Morrison,Christopher Hamilton,2495.8,batch,completed,2026-07-21 09:02:05.206587,0
TXN0179,John Bell,Amanda Garrett,7375.24,batch,completed,2026-07-18 01:48:42.049016,0
TXN0773,Tyler Davis,Mark Flores,2490.64,batch,completed,2026-07-05 02:20:46.659956,0
TXN0760,Cynthia Flores,Brenda Henderson,2211.07,real-time,completed,2026-07-22 20:35:11.858098,0
TXN0942,Deborah Bender,Maria Daniel,3553.14,real-time,completed,2026-07-01 06:05:37.954035,0
TXN0851,Kimberly Roberts,William Ferguson,1893.85,real-time,completed,2026-07-12 13:22:38.239962,0
STR0010,Tyrone Wilson,Alexander Robinson,979.7,real-time,completed,2026-07-15 14:10:00.000000,1
TXN0810,Teresa Walker,Andrea Mills,4184.13,batch,completed,2026-07-15 07:36:00.575735,0
TXN0735,Sarah Hodges,Taylor Rojas,2668.84,batch,completed,2026-07-28 10:32:10.629207,0
TXN0182,Ross Bruce,Heather Sutton,4585.76,batch,completed,2026-07-10 09:42:52.747568,0
TXN0882,Debra Kramer,Chase Reid,3106.32,batch,completed,2026-07-03 15:43:56.135176,0
TXN0727,Amanda Hill,Ashley Mcgee,1383.31,batch,completed,2026-07-14 10:51:33.725206,0
TXN0668,Lauren Jones,Cindy Gonzalez,5579.43,real-time,completed,2026-07-12 15:35:04.541107,0
TXN0176,Nicholas Thompson,David Cole,1407.45,batch,completed,2026-07-20 13:43:39.293509,0
TXN0827,Derek Anderson,David Gutierrez,3471.06,real-time,completed,2026-07-13 01:18:47.404212,0
TXN0534,Daniel Johnson DVM,David Flores,3957.84,real-time,completed,2026-07-08 17:11:14.683376,0
TXN0834,Jacob Taylor,Latoya James,4347.94,batch,completed,2026-07-01 11:00:24.899108,0
